"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430231","16.14.1.4","47600","D","","","0"
"2006","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430231","16.14.1.4","49600","D","","","0"
"2007","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430231","16.14.1.4","51900","C","","","0"
"2008","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430231","16.14.1.4","49000","E","","","0"
"2009","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430231","16.14.1.4","44000","E","","","0"
"2010","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430231","16.14.1.4","58500","D","","","0"
"2011","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430231","16.14.1.4","49300","D","","","0"
"2012","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430231","16.14.1.4","32400","D","","","0"
"2013","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430231","16.14.1.4","47500","D","","","0"
"2014","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430231","16.14.1.4","42500","D","","","0"
"2015","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430231","16.14.1.4","39700","D","","","0"
"2016","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430231","16.14.1.4","45500","D","","","0"
"2017","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430231","16.14.1.4","50600","D","","","0"
"2018","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430231","16.14.1.4","52200","C","","","0"
"2019","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430231","16.14.1.4","54300","C","","","0"
"2020","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430231","16.14.1.4","49200","D","","","0"
"2021","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430231","16.14.1.4","56900","D","","","0"
"2022","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430231","16.14.1.4","45200","B","","","0"
"2023","Ottawa-Gatineau, Ontario/Quebec","2021S0503505","Non-seniors not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430231","16.14.1.4","55200","C","","","0"
"2000","Toronto, Ontario","2021S0503535","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430651","17.7.1.4","110600","C","","","0"
"2001","Toronto, Ontario","2021S0503535","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430651","17.7.1.4","115900","C","","","0"
"2002","Toronto, Ontario","2021S0503535","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430651","17.7.1.4","115000","C","","","0"
"2003","Toronto, Ontario","2021S0503535","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430651","17.7.1.4","110200","C","","","0"
"2004","Toronto, Ontario","2021S0503535","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430651","17.7.1.4","99900","C","","","0"
"2005","Toronto, Ontario","2021S0503535","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430651","17.7.1.4","109600","C","","","0"
"2006","Toronto, Ontario","2021S0503535","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430651","17.7.1.4","109500","C","","","0"
"2007","Toronto, Ontario","2021S0503535","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430651","17.7.1.4","107700","D","","","0"
"2008","Toronto, Ontario","2021S0503535","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430651","17.7.1.4","117000","D","","","0"
"2009","Toronto, Ontario","2021S0503535","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430651","17.7.1.4","109300","D","","","0"
"2010","Toronto, Ontario","2021S0503535","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430651","17.7.1.4","118200","D","","","0"
"2011","Toronto, Ontario","2021S0503535","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430651","17.7.1.4","125400","D","","","0"
"2012","Toronto, Ontario","2021S0503535","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430651","17.7.1.4","119200","C","","","0"
"2013","Toronto, Ontario","2021S0503535","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430651","17.7.1.4","119100","D","","","0"
"2014","Toronto, Ontario","2021S0503535","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430651","17.7.1.4","134000","D","","","0"
"2015","Toronto, Ontario","2021S0503535","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430651","17.7.1.4","102500","D","","","0"
"2016","Toronto, Ontario","2021S0503535","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430651","17.7.1.4","117200","C","","","0"
"2017","Toronto, Ontario","2021S0503535","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430651","17.7.1.4","122300","C","","","0"
"2018","Toronto, Ontario","2021S0503535","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430651","17.7.1.4","120100","C","","","0"
"2019","Toronto, Ontario","2021S0503535","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430651","17.7.1.4","119700","C","","","0"
"2020","Toronto, Ontario","2021S0503535","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430651","17.7.1.4","129100","B","","","0"
"2021","Toronto, Ontario","2021S0503535","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430651","17.7.1.4","132800","C","","","0"
"2022","Toronto, Ontario","2021S0503535","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430651","17.7.1.4","125100","B","","","0"
"2023","Toronto, Ontario","2021S0503535","Couples","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430651","17.7.1.4","127500","B","","","0"
"2000","Toronto, Ontario","2021S0503535","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430711","17.8.1.4","126600","B","","","0"
"2001","Toronto, Ontario","2021S0503535","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430711","17.8.1.4","129800","C","","","0"
"2002","Toronto, Ontario","2021S0503535","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430711","17.8.1.4","123000","B","","","0"
"2003","Toronto, Ontario","2021S0503535","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430711","17.8.1.4","121700","B","","","0"
"2004","Toronto, Ontario","2021S0503535","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430711","17.8.1.4","125100","C","","","0"
"2005","Toronto, Ontario","2021S0503535","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430711","17.8.1.4","118900","C","","","0"
"2006","Toronto, Ontario","2021S0503535","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430711","17.8.1.4","114100","C","","","0"
"2007","Toronto, Ontario","2021S0503535","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430711","17.8.1.4","112600","C","","","0"
"2008","Toronto, Ontario","2021S0503535","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430711","17.8.1.4","121700","C","","","0"
"2009","Toronto, Ontario","2021S0503535","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430711","17.8.1.4","120400","C","","","0"
"2010","Toronto, Ontario","2021S0503535","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430711","17.8.1.4","127500","C","","","0"
"2011","Toronto, Ontario","2021S0503535","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430711","17.8.1.4","130900","C","","","0"
"2012","Toronto, Ontario","2021S0503535","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430711","17.8.1.4","131300","C","","","0"
"2013","Toronto, Ontario","2021S0503535","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430711","17.8.1.4","116200","C","","","0"
"2014","Toronto, Ontario","2021S0503535","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430711","17.8.1.4","130100","C","","","0"
"2015","Toronto, Ontario","2021S0503535","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430711","17.8.1.4","134300","C","","","0"
"2016","Toronto, Ontario","2021S0503535","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430711","17.8.1.4","127100","C","","","0"
"2017","Toronto, Ontario","2021S0503535","Couples with children","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96430711","17.8.1.4","138200","C","","","0"
